mass_50,,,,mass_100,,,,mass_150,,,,mass_200,,,,mass_300,,
t,x,y,,t,x,y,,t,x,y,,t,x,y,,t,x,y
3.67E+00,3.39E-04,7.86E-02,,3.20E+00,1.73E-02,8.17E-02,,3.20E+00,2.25E-02,-7.39E-02,,3.20E+00,3.55E-02,-6.70E-02,,3.20E+00,4.15E-02,1.94E-01
3.73E+00,3.39E-04,8.27E-02,,3.27E+00,1.68E-02,5.55E-02,,3.27E+00,2.04E-02,-9.79E-02,,3.27E+00,3.61E-02,-2.73E-02,,3.27E+00,4.13E-02,2.69E-01
3.80E+00,6.78E-04,7.25E-02,,3.33E+00,1.66E-02,3.07E-02,,3.33E+00,1.86E-02,-1.09E-01,,3.33E+00,3.65E-02,8.45E-03,,3.33E+00,4.12E-02,3.33E-01
3.87E+00,1.02E-03,5.01E-02,,3.40E+00,1.64E-02,1.38E-02,,3.40E+00,1.67E-02,-1.06E-01,,3.40E+00,3.67E-02,3.50E-02,,3.40E+00,4.10E-02,3.81E-01
3.93E+00,6.78E-04,2.54E-02,,3.47E+00,1.65E-02,9.27E-03,,3.47E+00,1.47E-02,-9.00E-02,,3.47E+00,3.72E-02,4.62E-02,,3.47E+00,4.08E-02,4.07E-01
4.00E+00,6.78E-04,5.08E-03,,3.53E+00,1.64E-02,1.77E-02,,3.53E+00,1.31E-02,-6.38E-02,,3.53E+00,3.75E-02,4.32E-02,,3.53E+00,4.04E-02,4.09E-01
4.07E+00,0.00E+00,0.00E+00,,3.60E+00,1.66E-02,3.69E-02,,3.60E+00,1.21E-02,-2.96E-02,,3.60E+00,3.77E-02,2.63E-02,,3.60E+00,4.00E-02,3.85E-01
4.13E+00,6.78E-04,1.22E-02,,3.67E+00,1.70E-02,6.27E-02,,3.67E+00,1.24E-02,2.64E-03,,3.67E+00,3.74E-02,-3.44E-03,,3.67E+00,3.98E-02,3.38E-01
4.20E+00,1.36E-03,3.46E-02,,3.73E+00,1.74E-02,8.90E-02,,3.73E+00,1.40E-02,2.83E-02,,3.73E+00,3.63E-02,-4.07E-02,,3.73E+00,3.97E-02,2.75E-01
4.27E+00,0.00E+00,6.00E-02,,3.80E+00,1.83E-02,1.09E-01,,3.80E+00,1.56E-02,4.33E-02,,3.80E+00,3.56E-02,-8.12E-02,,3.80E+00,3.97E-02,2.00E-01
4.33E+00,1.02E-03,7.66E-02,,3.87E+00,1.89E-02,1.17E-01,,3.87E+00,1.80E-02,4.51E-02,,3.87E+00,3.47E-02,-1.17E-01,,3.87E+00,3.97E-02,1.22E-01
4.40E+00,0.00E+00,8.50E-02,,3.93E+00,1.93E-02,1.14E-01,,3.93E+00,1.95E-02,3.20E-02,,3.93E+00,3.37E-02,-1.45E-01,,3.93E+00,3.99E-02,4.90E-02
4.47E+00,3.39E-04,7.66E-02,,4.00E+00,1.93E-02,9.79E-02,,4.00E+00,2.22E-02,7.60E-03,,4.00E+00,3.34E-02,-1.60E-01,,4.00E+00,4.00E-02,-1.04E-02
4.53E+00,3.39E-04,5.45E-02,,4.07E+00,1.95E-02,7.35E-02,,4.07E+00,2.42E-02,-2.45E-02,,4.07E+00,3.27E-02,-1.60E-01,,4.07E+00,4.02E-02,-5.06E-02
4.60E+00,3.39E-04,2.85E-02,,4.13E+00,1.91E-02,4.64E-02,,4.13E+00,2.62E-02,-5.76E-02,,4.13E+00,3.19E-02,-1.43E-01,,4.13E+00,4.03E-02,-6.79E-02
4.67E+00,0.00E+00,8.47E-03,,4.20E+00,1.88E-02,2.42E-02,,4.20E+00,2.71E-02,-8.59E-02,,4.20E+00,3.15E-02,-1.15E-01,,4.20E+00,4.03E-02,-5.96E-02
4.73E+00,1.02E-03,6.78E-04,,4.27E+00,1.85E-02,1.16E-02,,4.27E+00,2.74E-02,-1.05E-01,,4.27E+00,3.16E-02,-7.79E-02,,4.27E+00,4.02E-02,-2.65E-02
4.80E+00,3.39E-04,9.15E-03,,4.33E+00,1.79E-02,1.11E-02,,4.33E+00,2.68E-02,-1.09E-01,,4.33E+00,3.18E-02,-3.82E-02,,4.33E+00,3.99E-02,2.75E-02
4.87E+00,0.00E+00,3.02E-02,,4.40E+00,1.71E-02,2.45E-02,,4.40E+00,2.51E-02,-1.01E-01,,4.40E+00,3.23E-02,-3.10E-04,,4.40E+00,4.00E-02,9.66E-02
,,,,4.47E+00,1.67E-02,4.64E-02,,4.47E+00,2.28E-02,-7.93E-02,,4.47E+00,3.29E-02,2.87E-02,,4.47E+00,3.99E-02,1.73E-01
,,,,4.53E+00,1.59E-02,7.24E-02,,4.53E+00,2.05E-02,-4.91E-02,,4.53E+00,3.36E-02,4.46E-02,,4.53E+00,3.98E-02,2.51E-01
,,,,4.60E+00,1.56E-02,9.68E-02,,4.60E+00,1.86E-02,-1.54E-02,,4.60E+00,3.42E-02,4.63E-02,,4.60E+00,3.98E-02,3.19E-01
,,,,4.67E+00,1.51E-02,1.13E-01,,4.67E+00,1.65E-02,1.51E-02,,4.67E+00,3.56E-02,3.27E-02,,4.67E+00,3.94E-02,3.71E-01
,,,,4.73E+00,1.51E-02,1.18E-01,,4.73E+00,1.47E-02,3.69E-02,,4.73E+00,3.62E-02,6.54E-03,,4.73E+00,3.94E-02,4.03E-01
,,,,4.80E+00,1.54E-02,1.09E-01,,,,,,4.80E+00,3.75E-02,-3.05E-02,,4.80E+00,3.94E-02,4.11E-01
,,,,4.87E+00,1.65E-02,8.81E-02,,,,,,,,,,4.87E+00,3.95E-02,3.94E-01
